title,dateAdded,salary,owner,categories,employmentType,customText6
job_124,14/10/2023,40000.0,playtika.com,fullstack,contract,lead
job_125,14/11/2023,80000.0,Stakelogic,frontend,contract,lead
job_126,26/11/2023,40000.0,Product Madness,ml_engineer,contract,lead
job_127,11/10/2023,80000.0,Playtika,backend,contract,principal
job_128,06/12/2023,60000.0,CatalystApps,qa_engineer,freelance,junior
job_129,17/11/2023,40000.0,YozmaTech,fullstack,permanent,lead
job_130,14/11/2023,80000.0,Idenon,qa_engineer,permanent,senior
job_131,21/11/2023,60000.0,EveryMatrix,data_scientist,freelance,principal
job_132,24/10/2023,,Playson,qa_engineer,contract,lead
job_133,27/11/2023,60000.0,Onseo,software_engineer,contract,lead
job_134,27/11/2023,40000.0,RubyPlay,qa_engineer,temporary,lead
job_135,04/10/2023,105000.0,Axell,designer,freelance,lead
job_136,08/12/2023,105000.0,Stakelogic,fullstack,contract,lead
job_137,27/12/2023,,Clovertech,devops,contract,lead
job_138,17/11/2023,60000.0,Digicode,backend,temporary,principal
job_139,28/10/2023,80000.0,Push Gaming,qa_engineer,contract,entry
job_140,13/12/2023,60000.0,ITSOFT,fullstack,freelance,mid
job_141,26/10/2023,40000.0,Product Madness,data_scientist,permanent,senior
job_142,12/12/2023,105000.0,PlayMe Studio,ml_engineer,freelance,principal
job_143,09/11/2023,40000.0,Onseo,product_manager,freelance,senior
job_144,19/11/2023,40000.0,Program Ace,software_engineer,permanent,entry
job_145,18/11/2023,80000.0,Genesis Obrio,qa_engineer,freelance,senior
job_146,23/12/2023,105000.0,Playson,product_manager,permanent,mid
job_147,21/10/2023,,NeoGames,software_engineer,freelance,entry
job_148,11/12/2023,,Booongo,qa_engineer,temporary,mid
job_149,23/10/2023,,Mangosoft,designer,permanent,junior
job_150,06/12/2023,80000.0,IFun Games,designer,temporary,entry
job_151,07/10/2023,80000.0,Playtika,frontend,freelance,mid
job_152,20/10/2023,105000.0,Academy SMART,fullstack,temporary,mid
job_153,16/11/2023,135000.0,Academy Smart Ltd.,qa_engineer,contract,lead
job_154,31/10/2023,60000.0,28Software,qa_engineer,freelance,junior
job_155,18/12/2023,40000.0,Sigma Software Group,software_engineer,permanent,mid
job_156,21/12/2023,80000.0,Stepico Games,product_manager,temporary,principal
job_157,10/10/2023,135000.0,OUTLOU:D,ml_engineer,permanent,entry
job_158,06/10/2023,,Uni-Bit Studio Inc.,fullstack,contract,junior
job_159,29/10/2023,80000.0,Program Ace,product_manager,temporary,junior
job_160,18/11/2023,80000.0,Frag Lab,fullstack,permanent,junior
job_161,04/11/2023,80000.0,Jelvix,backend,freelance,entry
job_162,29/10/2023,135000.0,Kevuru Games,qa_engineer,freelance,entry
job_163,07/12/2023,135000.0,Quest Marketing,backend,permanent,entry
job_164,21/10/2023,135000.0,NetGame,ml_engineer,contract,entry
job_165,27/10/2023,,YozmaTech,product_manager,temporary,entry
job_166,16/12/2023,60000.0,Sunvery,ml_engineer,permanent,principal
job_167,12/12/2023,40000.0,Yozmatech,fullstack,permanent,lead
job_168,16/10/2023,40000.0,28software,devops,temporary,senior
job_169,19/12/2023,80000.0,NetGame,data_scientist,freelance,entry
job_170,15/11/2023,105000.0,Whimsy Games,devops,contract,junior
job_171,10/12/2023,80000.0,Arenarts Studio,ml_engineer,freelance,senior
job_172,19/10/2023,40000.0,Playson,software_engineer,contract,lead
job_173,17/10/2023,40000.0,Art2Hire,devops,permanent,entry
job_174,15/10/2023,60000.0,LEAP-GAMING,designer,temporary,principal
job_175,22/11/2023,135000.0,Clovertech,designer,freelance,lead
job_176,23/12/2023,40000.0,Global Teams,software_engineer,contract,entry
job_177,16/10/2023,60000.0,Ejaw,devops,temporary,lead
job_178,31/12/2023,,GaGa Games Studio,qa_engineer,contract,mid
job_179,06/12/2023,105000.0,IFun Games,fullstack,permanent,entry
job_180,22/12/2023,80000.0,Wow IT,frontend,freelance,mid
job_181,27/10/2023,,Filancy,data_scientist,permanent,mid
job_182,08/12/2023,,Whimsy Games,devops,temporary,senior
job_183,07/11/2023,135000.0,Timecode DS Ltd.,qa_engineer,freelance,entry
job_184,25/10/2023,,HZF,backend,freelance,junior
job_185,09/11/2023,40000.0,SciPlay,frontend,temporary,senior
job_186,16/10/2023,,Booongo,designer,temporary,junior
job_187,12/11/2023,80000.0,Tracki,fullstack,freelance,lead
job_188,06/10/2023,60000.0,Product Madness,data_scientist,contract,entry
job_189,21/11/2023,,Israel IT,designer,temporary,senior
job_190,03/12/2023,80000.0,TalentIn,software_engineer,contract,entry
job_191,31/10/2023,105000.0,YozmaTech,designer,freelance,senior
job_192,09/12/2023,60000.0,YozmaTech,designer,freelance,senior
job_193,21/10/2023,80000.0,Gameloft,designer,freelance,lead
job_194,26/11/2023,135000.0,Game Dev (NDA),devops,freelance,mid
job_195,04/10/2023,135000.0,EveryMatrix,product_manager,permanent,entry
job_196,05/12/2023,80000.0,Stepico Games,ml_engineer,freelance,lead
job_197,20/11/2023,,DGN Games,software_engineer,contract,junior
job_198,18/11/2023,,AUG Global,designer,freelance,junior
job_199,14/10/2023,,DMND GAMES/Bagelcode,product_manager,temporary,entry
job_200,25/10/2023,40000.0,Murka,devops,permanent,principal
job_201,28/11/2023,,NFT Arts,fullstack,freelance,principal
job_202,29/10/2023,60000.0,Gameloft,data_scientist,permanent,senior
job_203,20/12/2023,,Gismart,product_manager,freelance,principal
job_204,08/12/2023,135000.0,iTalentify,frontend,permanent,mid
job_205,23/12/2023,135000.0,Stakelogic,backend,contract,principal
job_206,22/10/2023,,PlayChi,fullstack,freelance,entry
job_207,04/12/2023,105000.0,Yozmatech,frontend,freelance,principal
job_208,05/10/2023,60000.0,Gamzix,ml_engineer,temporary,junior
job_209,16/11/2023,135000.0,Upland.me,frontend,contract,junior
job_210,01/12/2023,80000.0,Wooden Sword Games,devops,temporary,senior
job_211,16/12/2023,40000.0,EJAW,devops,freelance,mid
job_212,22/10/2023,60000.0,CNA International IT Recruitment,product_manager,permanent,mid
job_213,17/10/2023,60000.0,BigBlock,devops,contract,junior
job_214,26/10/2023,80000.0,Live Play Mobile,qa_engineer,temporary,lead
job_215,02/12/2023,,Uni-Bit Studio Inc,devops,temporary,junior
job_216,15/11/2023,80000.0,PLURE,data_scientist,freelance,lead
job_217,21/11/2023,135000.0,Blackwood Games,data_scientist,contract,junior
job_218,13/12/2023,,GSN games,ml_engineer,temporary,senior
job_219,07/11/2023,40000.0,Zubi-Solutions,backend,contract,mid
job_220,14/11/2023,80000.0,Stakelogic,backend,temporary,lead
job_221,02/11/2023,105000.0,RubyPlay,product_manager,permanent,mid
job_222,05/12/2023,135000.0,E-WIN,ml_engineer,permanent,principal
job_223,16/11/2023,105000.0,Whimsy Games,backend,temporary,principal
job_224,10/11/2023,135000.0,Ejaw,backend,temporary,junior
job_225,19/12/2023,40000.0,Advant Studio,fullstack,permanent,mid
job_226,04/12/2023,60000.0,adkings.agency,devops,permanent,junior
job_227,31/12/2023,105000.0,AAA Game Art  Studio,designer,permanent,entry
job_228,20/10/2023,60000.0,PlayMe Studio,devops,temporary,junior
job_229,14/12/2023,80000.0,Volmi - A Virtuos Studio.,devops,permanent,principal
job_230,29/10/2023,105000.0,Funzy Games,data_scientist,temporary,mid
job_231,21/10/2023,80000.0,Blackwood Games,qa_engineer,freelance,senior
job_232,16/11/2023,60000.0,BrainRocket,backend,freelance,junior
job_233,07/12/2023,135000.0,GaGa Games Studio,qa_engineer,contract,entry
job_234,26/10/2023,60000.0,Gismart,backend,contract,principal
job_235,25/12/2023,,Plure,devops,contract,mid
job_236,21/11/2023,135000.0,PlayMe Studio,product_manager,freelance,senior
job_237,01/11/2023,60000.0,Blackwood Games,fullstack,permanent,entry
job_238,24/10/2023,135000.0,TekRevol,data_scientist,temporary,junior
job_239,17/12/2023,60000.0,PlayWorks,qa_engineer,freelance,principal
job_240,30/12/2023,135000.0,Dapplica,designer,freelance,principal
job_241,13/10/2023,135000.0,NetEnt,designer,freelance,junior
job_242,01/12/2023,60000.0,Gamepack,product_manager,contract,senior
job_243,08/10/2023,135000.0,OnePlusOne Solutions,fullstack,temporary,senior
job_244,01/11/2023,40000.0,BetterMe,data_scientist,temporary,senior
job_245,08/11/2023,40000.0,Ultimatech,ml_engineer,temporary,mid
job_246,09/12/2023,80000.0,Ultimatech,ml_engineer,freelance,principal
job_247,07/11/2023,60000.0,Skywind Group,designer,permanent,senior
job_248,29/12/2023,105000.0,Flyer One Ventures,frontend,temporary,senior
job_249,10/11/2023,80000.0,Softermii,designer,temporary,lead
job_250,27/10/2023,80000.0,Funtico,frontend,permanent,principal
job_251,19/10/2023,135000.0,Barbara Bang,backend,contract,principal
job_252,11/10/2023,60000.0,VITASOFT1,data_scientist,contract,mid
job_253,05/11/2023,135000.0,AlphaNova,backend,contract,entry
job_254,14/10/2023,,Booongo,fullstack,freelance,principal
job_255,09/10/2023,105000.0,Don`t Panic Recruiting Agency,devops,permanent,entry
job_256,07/12/2023,,Murka,product_manager,temporary,principal
job_257,04/10/2023,135000.0,Twin Win Games,ml_engineer,freelance,junior
job_258,17/10/2023,80000.0,Qubit Labs,frontend,permanent,entry
job_259,24/10/2023,40000.0,Murka,devops,temporary,lead
job_260,17/10/2023,135000.0,SimilarDev,product_manager,contract,mid
job_261,03/11/2023,60000.0,Madskil,frontend,contract,lead
job_262,30/11/2023,135000.0,Stepico Games,ml_engineer,permanent,junior
job_263,16/12/2023,80000.0,BGB GROUP LLC,fullstack,contract,principal
job_264,10/12/2023,40000.0,Timecode,fullstack,temporary,lead
job_265,29/12/2023,40000.0,BetterMe,fullstack,temporary,entry
job_266,25/11/2023,60000.0,Arrible,software_engineer,contract,entry
job_267,26/10/2023,,RecruitGarden,qa_engineer,freelance,principal
job_268,05/12/2023,40000.0,RecruitGarden,data_scientist,permanent,principal
job_269,21/10/2023,80000.0,Kevuru Games,fullstack,freelance,mid
job_270,10/12/2023,60000.0,Code Artworks Ltd.,backend,contract,entry
job_271,17/11/2023,60000.0,Boosta,data_scientist,temporary,senior
job_272,22/10/2023,,Newxel,data_scientist,freelance,junior
job_273,23/10/2023,135000.0,Room 8 Studio,product_manager,permanent,lead
job_274,17/10/2023,,"Dominik Levitsky Studio, LLC",data_scientist,freelance,senior
job_275,04/11/2023,60000.0,Stepico Games,product_manager,freelance,mid
job_276,18/10/2023,105000.0,44gifts corp,product_manager,freelance,junior
job_277,15/11/2023,40000.0,CNA International IT,data_scientist,freelance,entry
job_278,23/11/2023,105000.0,Indigo,product_manager,permanent,lead
job_279,28/11/2023,105000.0,Kevuru Games,fullstack,contract,senior
job_280,11/12/2023,135000.0,Mangosoft,data_scientist,contract,junior
job_281,05/10/2023,135000.0,HZF,backend,temporary,mid
job_282,15/12/2023,135000.0,O2IT Recruitment,product_manager,contract,lead
job_283,07/10/2023,,Indigo Tech Recruiters,ml_engineer,permanent,entry
job_284,25/10/2023,40000.0,Qubit Labs,data_scientist,freelance,senior
job_285,29/10/2023,60000.0,DevBrother,product_manager,temporary,entry
job_286,06/11/2023,135000.0,SkillSquare,fullstack,contract,senior
job_287,27/10/2023,105000.0,Playtika,ml_engineer,permanent,senior
job_288,07/12/2023,60000.0,Stepico Games,frontend,temporary,principal
job_289,23/11/2023,80000.0,Outcrowd,fullstack,permanent,junior
job_290,18/10/2023,,Pacpix,devops,temporary,mid
job_291,08/11/2023,60000.0,Wow-How Studio,designer,freelance,senior
job_292,28/11/2023,,Whimsy Games,fullstack,permanent,junior
job_293,22/10/2023,135000.0,Alliance Videos,software_engineer,temporary,entry
job_294,21/10/2023,60000.0,Moonmana,ml_engineer,permanent,junior
job_295,02/11/2023,40000.0,N-iX,backend,contract,mid
job_296,09/12/2023,60000.0,MEGOGO,ml_engineer,freelance,entry
job_297,04/11/2023,,Newxel,software_engineer,permanent,mid
job_298,15/11/2023,105000.0,Stampsdaq,backend,freelance,lead
job_299,13/11/2023,40000.0,StampsDaq,fullstack,temporary,principal
job_300,10/11/2023,135000.0,Fourmeta,qa_engineer,permanent,lead
job_301,11/12/2023,105000.0,Saphira Agency,ml_engineer,freelance,principal
job_302,11/12/2023,80000.0,ITernal Group,backend,temporary,senior
job_303,26/12/2023,60000.0,ANYWAY Agency,backend,permanent,senior
job_304,03/11/2023,,Fireart studio,devops,temporary,lead
job_305,22/11/2023,,Fast Rewards,ml_engineer,permanent,senior
job_306,24/12/2023,60000.0,Innovaticx,software_engineer,contract,senior
job_307,24/10/2023,105000.0,Wow-How Studio,product_manager,contract,mid
job_308,09/10/2023,135000.0,Brain Rocket,designer,temporary,senior
job_309,21/11/2023,,NetGame NV,fullstack,permanent,lead
job_310,03/12/2023,105000.0,FAVBET Tech,frontend,temporary,junior
job_311,15/11/2023,105000.0,UPPeople,backend,permanent,mid
job_312,26/11/2023,80000.0,OUTLOU:D,ml_engineer,permanent,principal
job_313,29/11/2023,60000.0,Room 8 Studio,product_manager,temporary,entry
job_314,04/11/2023,,Stan's Assets,fullstack,contract,mid
job_315,08/10/2023,,Pixode,fullstack,contract,lead
job_316,19/11/2023,40000.0,Go Interactive,fullstack,temporary,principal
job_317,24/11/2023,,Triare,fullstack,contract,lead
job_318,06/11/2023,60000.0,Triare,backend,permanent,junior
job_319,28/11/2023,105000.0,Triare,ml_engineer,permanent,mid
job_320,07/10/2023,80000.0,Triare,backend,freelance,mid
job_321,08/11/2023,60000.0,Infopulse,devops,freelance,principal
job_322,25/10/2023,135000.0,APERCON,data_scientist,temporary,senior
job_323,21/10/2023,105000.0,Armada-soft,software_engineer,contract,mid
job_324,07/10/2023,40000.0,EPAM Systems (Odessa),devops,temporary,lead
job_325,20/12/2023,135000.0,Onventis,designer,freelance,lead
job_326,16/11/2023,60000.0,EPAM Systems (Odessa),qa_engineer,contract,senior
job_327,02/11/2023,135000.0,ECN Labs,ml_engineer,contract,senior
job_328,13/11/2023,40000.0,AOG.jobs,fullstack,temporary,mid
job_329,28/12/2023,105000.0,AOG.jobs,designer,freelance,junior
job_330,26/12/2023,60000.0,AGT LLC.,qa_engineer,permanent,entry
job_331,24/11/2023,80000.0,Civenty,product_manager,temporary,mid
job_332,25/11/2023,,Civenty,backend,permanent,entry
job_333,19/10/2023,135000.0,Mason Co,designer,freelance,principal
job_334,30/11/2023,135000.0,Dinarys GmbH,devops,temporary,junior
job_335,29/12/2023,,FirstFive,software_engineer,permanent,principal
job_336,19/10/2023,40000.0,IUP,designer,permanent,junior
job_337,04/11/2023,80000.0,FirstFive,designer,contract,lead
job_338,31/10/2023,,Onseo,designer,permanent,senior
job_339,05/12/2023,135000.0,SimiliarDev,designer,freelance,senior
job_340,07/11/2023,80000.0,New Dealigence,product_manager,permanent,entry
job_341,16/10/2023,,SimilarDev,backend,permanent,junior
job_342,10/12/2023,135000.0,MoveUp,devops,contract,mid
job_343,09/10/2023,,Global Talent,designer,temporary,lead
job_344,18/11/2023,105000.0,Jeykhun Imanov Studio,fullstack,temporary,entry
job_345,18/11/2023,60000.0,Walla Walla Studio,software_engineer,contract,entry
job_346,03/11/2023,80000.0,Arrible,ml_engineer,freelance,mid
job_347,18/11/2023,80000.0,INDIGO Tech Recruiters,frontend,temporary,lead
job_348,28/10/2023,60000.0,Pushit,ml_engineer,contract,principal
job_349,28/11/2023,40000.0,Walla Walla Studio,fullstack,freelance,lead
job_350,01/12/2023,105000.0,Parallax Software Solutions,ml_engineer,freelance,entry
job_351,30/12/2023,40000.0,Whimsy Games,frontend,temporary,senior
job_352,08/10/2023,40000.0,Pillar - Solid Offshore,devops,contract,entry
job_353,24/11/2023,60000.0,"Dominik Levitsky Studio, LLC",software_engineer,permanent,lead
job_354,07/12/2023,80000.0,DOGHOWL GAMES,fullstack,contract,principal
job_355,08/12/2023,80000.0,GamePoint,ml_engineer,contract,senior
job_356,15/12/2023,135000.0,Pingle Game Studio,devops,temporary,lead
job_357,24/12/2023,80000.0,Pingle Studio,qa_engineer,permanent,lead
job_358,05/10/2023,80000.0,Impulsis,qa_engineer,temporary,entry
job_359,12/12/2023,80000.0,Stepico Games,data_scientist,temporary,lead
job_360,17/10/2023,135000.0,Ubisoft,devops,contract,mid
job_361,28/10/2023,80000.0,Qubit Labs,fullstack,temporary,principal
job_362,24/10/2023,,Playtika,frontend,freelance,junior
job_363,21/11/2023,105000.0,Gameloft,data_scientist,freelance,junior
job_364,24/10/2023,60000.0,Pingle Studio,backend,freelance,junior
job_365,30/11/2023,105000.0,Creadits,software_engineer,contract,senior
job_366,16/12/2023,135000.0,Pingle Studio,designer,contract,lead
job_367,13/10/2023,,Blackwood Games,backend,permanent,lead
job_368,16/12/2023,40000.0,Wilke Experience,product_manager,temporary,entry
job_369,10/12/2023,135000.0,3D studio Ginko Visuals,ml_engineer,temporary,senior
job_370,04/11/2023,60000.0,Wilke Experience,fullstack,contract,senior
job_371,22/12/2023,40000.0,Dragon's Lake Entertainment,ml_engineer,freelance,junior
job_372,11/10/2023,135000.0,MoveUp,designer,freelance,lead
job_373,28/11/2023,80000.0,MoveUp,product_manager,temporary,senior
job_374,17/12/2023,60000.0,Fractured Byte,data_scientist,permanent,entry
job_375,04/12/2023,,Stepico Games,ml_engineer,temporary,mid
job_376,26/12/2023,80000.0,Volmi - A Virtuos Studio.,qa_engineer,contract,entry
job_377,29/12/2023,60000.0,Jelvix,qa_engineer,permanent,principal
job_378,19/11/2023,135000.0,Living Pixels Studio,product_manager,permanent,mid
job_379,08/12/2023,40000.0,Parallax Software Solutions,ml_engineer,freelance,senior
job_380,03/11/2023,80000.0,Stepico Games,fullstack,freelance,junior
job_381,27/10/2023,105000.0,Program-Ace,data_scientist,permanent,senior
job_382,28/10/2023,80000.0,Mriya Production,ml_engineer,temporary,entry
job_383,21/10/2023,105000.0,Hunty,software_engineer,temporary,entry
job_384,09/12/2023,80000.0,DiamondsLedger,backend,permanent,principal
job_385,31/12/2023,60000.0,Outcrowd,product_manager,temporary,mid
job_386,18/11/2023,60000.0,GamePoint,qa_engineer,permanent,junior
job_387,01/11/2023,40000.0,ARgentics,fullstack,temporary,senior
job_388,29/12/2023,,A-listware,product_manager,temporary,entry
job_389,12/12/2023,60000.0,SharpMinds,product_manager,contract,principal
job_390,18/10/2023,80000.0,SCORUM,product_manager,temporary,lead
job_391,28/10/2023,40000.0,Lynksen,software_engineer,contract,mid
job_392,12/12/2023,80000.0,Visco,data_scientist,contract,entry
job_393,19/12/2023,135000.0,ABNK Premium Systems,fullstack,freelance,principal
job_394,23/10/2023,60000.0,Green Panda Games,qa_engineer,temporary,lead
job_395,29/12/2023,135000.0,Code&Care,software_engineer,temporary,principal
job_396,05/11/2023,80000.0,iLogos,designer,temporary,mid
job_397,18/11/2023,40000.0,Giganeo,qa_engineer,temporary,mid
job_398,21/10/2023,105000.0,Intetics,frontend,permanent,senior
job_399,25/12/2023,,Ukrany,backend,permanent,senior
job_400,21/12/2023,60000.0,Ukrany,frontend,temporary,junior
job_401,15/12/2023,135000.0,Pingle Studio,ml_engineer,temporary,entry
job_402,16/12/2023,,Program-Ace,fullstack,contract,mid
job_403,25/10/2023,,Pushka Studios,designer,freelance,principal
job_404,08/12/2023,80000.0,MCPK,software_engineer,permanent,entry
job_405,24/11/2023,105000.0,Gameloft,ml_engineer,permanent,entry
job_406,11/11/2023,40000.0,Program-Ace,qa_engineer,contract,mid
job_407,05/12/2023,40000.0,7StarsPartners,ml_engineer,temporary,mid
job_408,07/11/2023,80000.0,Innovecs,fullstack,freelance,mid
job_409,29/10/2023,80000.0,GAMELOFT,frontend,freelance,entry
job_410,19/12/2023,,"KaaIoT, Technologies LLC",backend,contract,junior
